label,review
1,好评，送餐的小哥送的很快
1,这大下雪天的百度骑士非常好非常快的送来了，必须好评大赞
1,速度很快，下雪天辛苦了。
1,速度很快，下雨天师傅辛苦，味道很不错
1,特别好的师傅，冒雨还送得非常快，感谢百度外卖的送货师傅们。
1,送餐超快，半个小时不到就送到了
1,哈哈...送货神速.....赞赞赞
1,快递到家非常快，快递小哥服务也不错，今后会继续关注百度外卖
1,非常好，非常快！门牌号码没写都能送到，谢谢。
1,速度很快，服务好，稻香村食品也特别好吃。
1,出门不便，一个订单，非常快就送到了。也就十几分钟。
1,送餐人员很热情，下着小雨很辛苦的大老远给送来
1,很热情速度快…哎哟不错哦
1,好方便，用了代金券比去店里买还划算
1,配送员辛苦了，十分感谢，速度很快！
1,非常快，稻香村老字号东西味道都不错
1,因为个人原因未及时付款，快递大哥很和善，帮我想办法，多谢！
1,送餐很速度！糕点很好吃
1,味道不错，百度骑士的速度很赞～
1,非常好，很满意。好好好好哈。
1,很好，很快，稻香村的东西就是好，百度骑士也很快很棒……
1,送餐帅哥服务超好。。
1,非常不错，喜欢在百度外卖买吃的，速度快，服务好
1,送的非常快，包的也严实，好吃
1,很快的速度就过来了
1,挺好的，配送速度非常好
1,还没吃，包的挺好的，就是木有礼盒了
1,没想到呀，真的好快呀，支持支持！
1,非常快，半个小时送到。依旧是8月16号的生产日期。。。看来屯了好久了吧。不过也还好啦
1,非常快，方便。没有碎的。都很好。1个月前生产的。。。还能接受。
1,稻香村的糕点一直都很好吃
1,点心好.送货人员服务态度也非常好.赞一个。
1,送餐员很礼貌，很快！好评
1,不到半个小时就送到了，超快
1,送餐员服务很好，但商家把餐弄错了
1,送餐员人很好，服务不错。速度也挺快
1,送餐小哥很给力，大赞。
1,师傅辛苦了，认真负责，找了半天
1,配送速度很快，买来作为早点还挺好。
1,很满意，送的挺快，味道又好
1,百度快递师傅非常好，这么热的天这么快必须赞一个
1,非常不错，味道也非常好！
1,第二次购买了，作为早餐来吃还不错。
1,还送了两本书！包装也很完好.比在店里买还好！
1,送货速度很快
1,"特别快。比美团快多了。以后就百度啦,虽然少了份牛舌饼但是很快送过来了。挺好的"
1,二十分钟到了，太给力，大赞
1,百度外卖的袋子挺可爱的，送餐员服务也好。关键稻香村好吃！哈哈哈
1,这百度外卖师傅很好，到了以后没有零钱，还特意跑去换零钱，很诚恳，下次还要订百度外卖，给一万个好评给我这个师傅，棒棒达。
1,挺速度的，有效率。
1,快递很快，态度好，赞
1,"送得很快,东西也很好次"
1,"感觉香蕉布丁蛋糕不是很新鲜了。很硬。,其他还好"
1,很快，还送了礼物
1,蛋糕美味，送来的速度超快。
1,送餐很快，大熱天，辛苦配送師傅了
1,我的午餐首选品牌…
