epoch,train_loss,val_acc,epoch_time,learning_rate
1,0.41082344476678645,0.8828190158465388,15.002764463424683,0.001
2,0.24473585410297868,0.8869891576313594,16.376527070999146,0.001
3,0.18628224976642846,0.8828190158465388,19.363029718399048,0.001
4,0.14454138335526232,0.8761467889908257,13.409282922744751,0.001
5,0.11415690111612327,0.8728106755629691,14.954834461212158,0.001
6,0.09709613508011554,0.8728106755629691,13.926682472229004,0.001
7,0.0812400644137136,0.8711426188490409,14.223873615264893,0.001
8,0.0679865901927864,0.8636363636363636,36.23359489440918,0.001
9,0.05864381065537975,0.8623853211009175,27.277703762054443,0.001
10,0.051898503098557223,0.8561301084236864,12.547481536865234,0.001
